track,artist,date
Call me maybe,Carly Rae Jepsen,2022-01-03T13:10
Pflaster,Ich + Ich,2022-01-03T13:07
Dopamine,Purple Disco Machine Feat. Eyelar,2022-01-03T13:04
Spirits,The Strumbellas,2022-01-03T12:57
Spirits,The Strumbellas,2022-01-03T12:57
Floating through space,Sia & David Guetta,2022-01-03T12:55
Let you,Iann Dior,2022-01-03T12:53
Ironic,Alanis Morissette,2022-01-03T12:50
Thats what I want,Lil Nas X,2022-01-03T12:46
Coldest fire,AHI,2022-01-03T12:43
River,Tom Gregory,2022-01-03T12:40
In my mind,Dynoro & Gigi d'Agostino,2022-01-03T12:34
We are the people,Martin Garrix feat. Bono & The Edge,2022-01-03T12:31
Without you,Avicii feat. Sandro Cavazza,2022-01-03T12:26
You broke me first,Tate McRae,2022-01-03T12:24
Love makes you shine,Rea Garvey X YouNotUs X Kush Kush,2022-01-03T12:21
Love's divine,Seal,2022-01-03T12:16
Love again,Dua Lipa,2022-01-03T12:14
Devil inside,Inxs,2022-01-03T12:07
Habit,Laurell,2022-01-03T12:04
Dilemma,Nelly,2022-01-03T11:54
Drive,"Clean Bandit x Topic feat. Wes Nelson, Clean Bandit",2022-01-03T11:51
Walkin' on the sun,Smash Mouth,2022-01-03T11:49
Little bit of love,Tom Grennan,2022-01-03T11:45
I wish,Joel Corry feat. Mabel,2022-01-03T11:42
Nur in meinem Kopf,Andreas Bourani,2022-01-03T11:37
Bad habits,Ed Sheeran,2022-01-03T11:33
I turn to you,Melanie C,2022-01-03T11:27
I need you to hate me,JC Stewart,2022-01-03T11:25
Rebel yell,Billy Idol,2022-01-03T11:17
Where do we go,Dominic Neill,2022-01-03T11:14
Black hole,Griff,2022-01-03T11:09
Ain't nobody (Loves me better),Felix Jaehn feat. Jasmine Thompson,2022-01-03T11:06
Heat waves,Glass Animals,2022-01-03T11:03
Anxious,Dennis Lloyd,2022-01-03T10:59
Anxious,Dennis Lloyd,2022-01-03T10:59
Gives you hell,The All-American Rejects,2022-01-03T10:56
Alright,Alle Farben feat. Kiddo,2022-01-03T10:53
Island,Alice Merton,2022-01-03T10:50
Shape of my heart,Sting,2022-01-03T10:44
Good 4 U,Olivia Rodrigo,2022-01-03T10:42
I don't care,Kyle Pearce,2022-01-03T10:37
Still,Jupiter Jones,2022-01-03T10:34
